"population","location"
442,"San Pedro"
538,"San Perlita"
3117,"San Saba"
5454,"Sansom Park"
1014,"Santa Anna"
778,"Santa Clara"
74,"Santa Cruz"
10740,"Galena Park"
321,"Gallatin"
53695,"Galveston"
1975,"Ganado"
440,"Garceno"
43,"Garciasville"
334,"Garden City"
2020,"Gardendale"
4186,"Garden Ridge"
1825,"Garfield"
246018,"Garland"
397,"Garner"
829,"Garrett"
789,"Garrison"
510,"Garwood"
335,"Gary City"
651,"Garza-Salinas II"
16135,"Gatesville"
275,"Gause"
67176,"Georgetown"
2171,"George West"
1097,"Geronimo"
1250,"Gholson"
4969,"Giddings"
4843,"Gilmer"
53,"Girard"
6134,"Gladewater"
60,"Glazier"
15819,"Glenn Heights"
2659,"Glen Rose"
741,"Glidden"
1450,"Godley"
236,"Goldsmith"
1738,"Goldthwaite"
1620,"Goliad"
618,"Golinda"
7165,"Gonzales"
178,"Goodlow"
248,"Goodrich"
470,"Gordon"
158,"Goree"
976,"Gorman"
669,"Graford"
8732,"Graham"
10958,"Granbury"
340,"Grandfalls"
196100,"Grand Prairie"
3107,"Grand Saline"
1879,"Grandview"
1183,"Granger"
754,"Grangerland"
5129,"Granite Shoals"
283,"Granjeno"
3594,"Grape Creek"
1465,"Grapeland"
50631,"Grapevine"
325,"Grays Prairie"
655,"Green Valley Farms"
28164,"Greenville"
651,"Santa Maria"
86,"Santa Monica"
3152,"Santa Rita Ranch"
2450,"Santa Rosa"
24,"Santel"
347,"Santo"
504,"San Ygnacio"
1212,"Sargent"
205,"Sarita"
6529,"Savannah"
712,"Savoy"
10458,"Scenic Oaks"
42002,"Schertz"
2633,"Schulenburg"
3758,"Scissors"
413,"Scotland"
334,"Scottsville"
688,"Scurry"
13618,"Seabrook"
995,"Seadrift"
18446,"Seagoville"
2153,"Seagraves"
6839,"Sealy"
1684,"Sebastian"
572,"Seco Mines"
29433,"Seguin"
1450,"Seis Lagos"
10952,"Selma"
6988,"Seminole"
2098,"Serenada"
1603,"Seth Ward"
68,"Seven Oaks"
1370,"Seven Points"
2575,"Seymour"
2400,"Shadybrook"
4822,"Shady Hollow"
2764,"Shady Shores"
2964,"Shallowater"
1789,"Shamrock"
12735,"Santa Fe"
3524,"Shavano Park"
174,"Sheffield"
100,"Shelbyville"
2361,"Sheldon"
3499,"Shenandoah"
2105,"Shepherd"
520,"Sheridan"
43645,"Sherman"
1165,"Sherwood Shores"
2127,"Shiner"
201,"Shiro"
1566,"Shoreacres"
20204,"Sienna"
315,"Sierra Blanca"
1866,"Siesta Acres"
1450,"Siesta Shores"
6935,"Silsbee"
629,"Silverton"
1740,"Gregory"
492,"Grey Forest"
3631,"Groesbeck"
552,"Groom"
17335,"Groves"
918,"Groveton"
1130,"Gruver"
60,"Guadalupe Guerra"
3,"Guerra"
6190,"Gun Barrel City"
2060,"Gunter"
392,"Gustine"
151,"Guthrie"
69,"Gutierrez"
2973,"Hackberry"
2062,"Hale Center"
2731,"Hallettsville"
419,"Hallsburg"
4277,"Hallsville"
46073,"Haltom City"
2895,"Hamilton"
1831,"Hamlin"
962,"Hamshire"
602,"Happy"
768,"Hardin"
21,"Harding Gill Tract"
800,"Hargill"
33097,"Harker Heights"
71829,"Harlingen"
1332,"Harper"
87,"Harrold"
869,"Hart"
382,"Hartley"
120,"Harwood"
3089,"Haskell"
1952,"Haslet"
361,"Havana"
452,"Hawk Cove"
1274,"Hawkins"
545,"Hawley"
227,"Hays"
11,"H. Cuellar Estates"
4544,"Hearne"
8509,"Heartland"
9769,"Heath"
4101,"Hebbronville"
803,"Hebron"
275,"Hedley"
2370,"Hedwig Village"
1507,"Heidelberg"
9030,"Helotes"
1029,"Hemphill"
5430,"Hempstead"
13271,"Henderson"
3111,"Henrietta"
14972,"Hereford"
383,"Hermleigh"
16026,"Hewitt"
4718,"Hickory Creek"
647,"Simonton"
5504,"Sinton"
394,"Skellytown"
863,"Skidmore"
5858,"Slaton"
475,"Smiley"
3922,"Smithville"
441,"Smyer"
506,"Snook"
11438,"Snyder"
34306,"Socorro"
722,"Solis"
1756,"Somerset"
1312,"Somerville"
2502,"Sonora"
7679,"Sonterra"
1773,"Sour Lake"
3414,"South Alamo"
136,"South Fork Estates"
207,"South Frydek"
16153,"South Houston"
31265,"Southlake"
347,"South La Paloma"
978,"Southmayd"
411,"South Mountain"
2066,"South Padre Island"
1014,"South Point"
1835,"Southside Place"
434,"South Toledo Bend"
1666,"Southwest Sandhill"
71,"Spade"
4760,"Sparks"
3171,"Spearman"
1683,"Splendora"
41,"Spofford"
62559,"Spring"
206,"Spring Branch"
497,"Spring Gardens"
145,"Springlake"
3064,"Springtown"
4229,"Spring Valley Village"
863,"Spur"
17666,"Stafford"
580,"Stagecoach"
2907,"Stamford"
2657,"Stanton"
193,"Staples"
482,"Star Harbor"
16713,"Steiner Ranch"
20897,"Stephenville"
1121,"Sterling City"
1650,"Stinnett"
1413,"Stockdale"
380,"Stockton Bend"
451,"Stonewall"
1743,"Stowell"
1939,"Stratford"
540,"Strawn"
13964,"Hidalgo"
3201,"Hideaway"
356,"Higgins"
418,"Highland Haven"
8864,"Highland Park"
8612,"Highlands"
15899,"Highland Village"
942,"Hill Country Village"
705,"Hillcrest"
8221,"Hillsboro"
3,"Hillside Acres"
356,"Hilltop CDP (Frio"
120,"Hilltop CDP (Starr"
1385,"Hilltop Lakes"
816,"Hilshire Village"
7301,"Hitchcock"
526,"Holiday Beach"
991,"Holiday Lakes"
1075,"Holland"
1524,"Holliday"
2951,"Holly Lake Ranch"
3130,"Hollywood Park"
5210,"Homestead Meadows North"
7142,"Homestead Meadows South"
8289,"Hondo"
1715,"Honey Grove"
2518,"Hooks"
22489,"Horizon City"
12168,"Hornsby Bend"
4257,"Horseshoe Bay"
949,"Horseshoe Bend"
2304580,"Houston"
370,"Howardwick"
3571,"Howe"
1394,"Hubbard"
268,"Huckabay"
4849,"Hudson"
4005,"Hudson Bend"
2174,"Hudson Oaks"
1575,"Hughes Springs"
1335,"Hico"
522,"Hull"
16795,"Humble"
390,"Hungerford"
4385,"Hunters Creek Village"
2025,"Huntington"
45941,"Huntsville"
40413,"Hurst"
5607,"Hutchins"
27577,"Hutto"
361,"Huxley"
148,"Iago"
2193,"Idalou"
415,"Iglesia Antigua"
22,"Impact"
294,"Imperial"
2694,"Indian Hills"
839,"Indian Lake"
248,"Streetman"
200,"Study Butte"
940,"Sudan"
111026,"Sugar Land"
3908,"Sullivan City"
15941,"Sulphur Springs"
34,"Summerfield"
1283,"Sundown"
7893,"Sunnyvale"
1707,"Sunray"
739,"Sunrise Beach Village"
598,"Sunrise Shores"
543,"Sunset CDP (Montague"
34,"Sunset CDP (Starr"
4,"Sunset Acres"
683,"Sunset Valley"
70,"Sun Valley"
640,"Surfside Beach"
3626,"Sweeny"
10622,"Sweetwater"
52,"Sylvester"
2801,"Taft"
1296,"Taft Southwest"
2375,"Tahoka"
494,"Talco"
2500,"Talty"
229,"Tanquecitos South Acres"
60,"Tanquecitos South Acres II"
1342,"Tatum"
16267,"Taylor"
3704,"Taylor Lake Village"
278,"Taylor Landing"
3384,"Teague"
228,"Tehuacana"
82073,"Temple"
989,"Tenaha"
78,"Terlingua"
17465,"Terrell"
5045,"Terrell Hills"
36193,"Texarkana"
51898,"Texas City"
258,"Texhoma"
448,"Texline"
44534,"The Colony"
2613,"The Hills"
3890,"The Homesteads"
114436,"The Woodlands"
156,"Thompsons"
26,"Thompsonville"
1263,"Thorndale"
421,"Thornton"
561,"Thorntonville"
816,"Thrall"
1474,"Three Rivers"
727,"Throckmorton"
764,"Thunderbird Bay"
179,"Tierra Bonita"
29,"Tierra Dorada"
892,"Indian Springs"
65,"Indio"
268,"Industry"
2641,"Inez"
9519,"Ingleside"
614,"Ingleside on the Bay"
1787,"Ingram"
311,"Iola"
8154,"Iowa Colony"
6535,"Iowa Park"
1055,"Iraan"
305,"Iredell"
256684,"Irving"
1926,"Italy"
1562,"Itasca"
1327,"Ivanhoe"
9613,"Jacinto City"
4184,"Jacksboro"
13997,"Jacksonville"
1078,"Jamaica Beach"
23,"Jardin de San Julian"
1753,"Jarrell"
6884,"Jasper"
511,"Jayton"
1875,"Jefferson"
7921,"Jersey Village"
793,"Jewett"
82,"J.F. Villareal"
734,"Joaquin"
1627,"Johnson City"
172,"Jolly"
1975,"Jones Creek"
2365,"Jonestown"
2119,"Josephine"
7891,"Joshua"
4094,"Jourdanton"
642,"Juarez"
2451,"Junction"
4409,"Justin"
3111,"Karnes City"
21894,"Katy"
6797,"Kaufman"
375,"K-Bar Ranch"
6387,"Keene"
45776,"Keller"
1807,"Kemah"
1129,"Kemp"
1146,"Kempner"
343,"Kendleton"
3473,"Kenedy"
615,"Kenefick"
272,"Kennard"
8517,"Kennedale"
1505,"Kerens"
6267,"Kermit"
24278,"Kerrville"
13376,"Kilgore"
153095,"Killeen"
132,"Kingsbury"
298,"Tierra Verde"
1106,"Tiki Island"
190,"Tilden"
430,"Timbercreek Canyon"
35217,"Timberwood Park"
989,"Timpson"
1142,"Tioga"
319,"Tira"
419,"Tivoli"
91,"Toco"
121,"Todd Mission"
941,"Tolar"
12341,"Tomball"
930,"Tom Bean"
2175,"Tool"
1432,"Tornillo"
226,"Tow"
61,"Toyah"
160,"Tradewinds"
7324,"Travis Ranch"
295,"Trent"
743,"Trenton"
860,"Trinidad"
2343,"Trinity"
13688,"Trophy Club"
2006,"Troup"
2375,"Troy"
231,"Tuleta"
4473,"Tulia"
31,"Tulsita"
90,"Tunis"
317,"Turkey"
850,"Tuscola"
1176,"Tye"
105995,"Tyler"
254,"Tynan"
1588,"Uhland"
123,"Umbarger"
85,"Uncertain"
441,"Union Grove"
370,"Union Valley"
303,"Tierra Grande"
19720,"Universal City"
25278,"University Park"
225,"Utopia"
15217,"Uvalde"
1879,"Uvalde Estates"
73,"Valentine"
94,"Valera"
93,"Valle Hermoso"
0,"Valle Verde"
545,"Valle Vista"
1229,"Valley Mills"
737,"Valley View"
2332,"Val Verde Park"
2664,"Van"
4369,"Van Alstyne"
409,"Vanderbilt"
1941,"Van Horn"
25402,"Kingsville"
8142,"Kirby"
2036,"Kirbyville"
101,"Kirvin"
606,"Knippa"
764,"Knollwood"
1065,"Knox City"
164,"Kopperl"
458,"Kosse"
1981,"Kountze"
596,"Kress"
1766,"Krugerville"
5483,"Krum"
395,"Kurten"
45697,"Kyle"
2078,"La Blanca"
55,"La Carla"
139,"La Casita"
74,"La Chuparosa"
9467,"Lackland AFB"
7,"La Coma"
116,"La Coma Heights"
1077,"LaCoste"
6988,"Lacy-Lakeview"
597,"Ladonia"
183,"La Escondida"
217,"La Esperanza"
6817,"La Feria"
225,"La Feria North"
161,"Lago"
8896,"Lago Vista"
4391,"La Grange"
1222,"La Grulla"
962,"Laguna Heights"
1372,"Laguna Park"
232,"Laguna Seca"
3520,"Laguna Vista"
11267,"La Homa"
4457,"La Joya"
339,"Lake Bridgeport"
7028,"Kingsland"
1462,"Lake Brownwood"
2060,"Lake Bryan"
2980,"Lake Cherokee"
447,"Lake City"
636,"Lake Colorado City"
7708,"Lake Dallas"
1981,"Lake Dunlap"
5295,"Lakehills"
28177,"Lake Jackson"
2254,"Lake Kiowa"
1110,"Lake Medina Shores"
338,"Lake Meredith Estates"
976,"Lakeport"
637,"Lakeshore Gardens-Hidden Acres"
338,"Lakeside town (San Patricio"
1649,"Lakeside town (Tarrant"
1923,"Van Vleck"
879,"Vega"
4361,"Venus"
10078,"Vernon"
65534,"Victoria"
93,"Victoria Vera"
9789,"Vidor"
153,"Villa del Sol"
467,"Villa Pancho"
112,"Villarreal"
711,"Villa Verde"
2684,"Vinton"
561,"Volente"
1174,"Von Ormy"
138486,"Waco"
302,"Wadsworth"
933,"Waelder"
50,"Waka"
5945,"Wake Village"
2682,"Waller"
1292,"Wallis"
795,"Walnut Springs"
677,"Warren"
319,"Warren City"
116,"Washburn"
1910,"Waskom"
23650,"Watauga"
41140,"Waxahachie"
30854,"Weatherford"
394,"Webberville"
12499,"Webster"
2076,"Weimar"
172,"Weinert"
699,"Weir"
234,"Welch"
1896,"Wellington"
230,"Wellman"
853,"Wells"
14000,"Wells Branch"
40160,"Weslaco"
2531,"West"
615,"West Alto Bonito"
201,"Westbrook"
3644,"West Columbia"
325,"Westdale"
1762,"Western Lake"
1623,"Westlake"
3444,"West Lake Hills"
8156,"West Livingston"
1035,"Westminster"
33340,"West Odessa"
283,"Weston"
3853,"Weston Lakes"
3459,"West Orange"
641,"Westover Hills"
2004,"West Sharyland"
1895,"West Tawakoni"
14955,"West University Place"
3811,"Westway"
1082,"Lakeside City"
686,"Lake Tanglewood"
60,"Lakeview"
197,"Lake View"
19189,"Lakeway"
635,"Lakewood Village"
4711,"Lake Worth"
72,"La Loma de Falcon"
724,"Lamar"
18030,"La Marque"
8674,"Lamesa"
129,"La Minita"
46,"Lamkin"
25,"La Moca Ranch"
7291,"Lampasas"
41275,"Lancaster"
10785,"Lantana"
3218,"La Paloma"
314,"La Paloma Addition"
1359,"La Paloma-Lost Creek"
329,"La Paloma Ranchettes"
35124,"La Porte"
241,"La Presa"
1294,"La Pryor"
638,"La Puerta"
255205,"Laredo"
21,"Laredo Ranchettes"
5,"Laredo Ranchettes West"
82,"La Rosita"
104,"Lasana"
909,"Lasara"
2,"Las Haciendas"
3054,"Las Lomas"
235,"Las Lomitas"
59,"Las Palmas"
891,"Las Palmas II"
7,"Las Pilas"
2326,"Las Quintas Fronterizas"
232,"Latexo"
687,"La Tina Ranch"
1673,"Laughlin AFB"
4111,"Laureles"
1077,"La Vernia"
176,"La Victoria"
2804,"La Villa"
4469,"Lavon"
176,"La Ward"
311,"Lawn"
114392,"League City"
315,"Leakey"
59202,"Leander"
433,"Leary"
420,"Lefors"
51,"Lelia Lake"
841,"Leming"
151,"Leona"
1987,"Leonard"
11542,"Leon Valley"
1239,"Westwood Shores"
2585,"Westworth Village"
8627,"Wharton"
1487,"Wheeler"
918,"White Deer"
375,"Whiteface"
8257,"Whitehouse"
6225,"White Oak"
4074,"Whitesboro"
18269,"White Settlement"
1725,"Whitewright"
119,"Whitharral"
1992,"Whitney"
102316,"Wichita Falls"
422,"Wickett"
201,"Wildorado"
2329,"Wild Peach Village"
1121,"Wildwood"
6431,"Willis"
2082,"Willow Grove"
4936,"Willow Park"
3747,"Wills Point"
4974,"Wilmer"
434,"Wilson"
2839,"Wimberley"
5865,"Windcrest"
189,"Windom"
342,"Windthorst"
422,"Winfield"
83,"Wingate"
915,"Wink"
3162,"Winnie"
3455,"Winnsboro"
623,"Winona"
2345,"Winters"
228,"Wixon Valley"
1399,"Wolfe City"
5521,"Wolfforth"
1330,"Woodbranch"
1770,"Woodcreek"
186,"Woodloch"
1319,"Woodsboro"
219,"Woodson"
2403,"Woodville"
9383,"Woodway"
980,"Wortham"
3694,"Wyldwood"
57526,"Wylie"
300,"Yancey"
405,"Yantis"
5908,"Yoakum"
1810,"Yorktown"
108,"Yznaga"
5383,"Zapata"
87,"Zapata Ranch"
79,"Zarate"
603,"Zavalla"
179,"Zephyr"
399,"Zuehl"
352,"Abbott"
2865,"Abernathy"
125182,"Abilene"
1108,"Abram"
11,"Acala"
264,"Ackerly"
16661,"Addison"
128,"Adrian"
3218,"Agua Dulce"
6,"Aguilares"
151,"Airport Heights"
96,"Airport Road Addition"
19493,"Alamo"
254,"Alamo Beach"
7357,"Alamo Heights"
23,"Alanreed"
473,"Alba"
1854,"Albany"
15999,"Aldine"
4858,"Aledo"
82,"Alfred"
17891,"Alice"
465,"Alice Acres"
104627,"Allen"
125,"Allison"
373,"Alma"
6035,"Alpine"
1027,"Alto"
296,"Alto Bonito Heights"
18198,"Alton"
4739,"Alvarado"
27098,"Alvin"
1351,"Alvord"
79,"Amada Acres"
305,"Amargosa"
200393,"Amarillo"
108,"Amaya"
937,"Ames"
678,"Amherst"
24,"Amistad"
24,"Anacua"
1980,"Anahuac"
354,"Leroy"
12652,"Levelland"
111822,"Lewisville"
1217,"Lexington"
8279,"Liberty"
2721,"Liberty City"
3646,"Liberty Hill"
6059,"Lindale"
1825,"Linden"
1045,"Lindsay"
166,"Lingleville"
733,"Linn"
505,"Lipan"
66,"Lipscomb"
1968,"Little Cypress"
46453,"Little Elm"
5943,"Littlefield"
1992,"Little River-Academy"
15781,"Live Oak"
475,"Liverpool"
5640,"Livingston"
3325,"Llano"
2952,"Llano Grande"
173,"Lockett"
14379,"Lockhart"
1498,"Lockney"
678,"Log Cabin"
519,"Lolita"
135,"Loma Grande"
149,"Loma Linda"
305,"Loma Linda East CDP (Jim Wells"
67,"Loma Linda East CDP (Starr"
98,"Loma Linda West"
117,"Loma Vista"
753,"Lometa"
643,"Lone Oak"
1400,"Lone Star"
81,"Longoria"
81638,"Longview"
216,"Loop"
70,"Lopeño"
2367,"Lopezville"
504,"Loraine"
1785,"Lorena"
964,"Lorenzo"
175,"Los Altos"
247,"Los Alvarez"
108,"Los Angeles"
83,"Los Arcos"
43,"Los Arrieros"
278,"Los Barreras"
49,"Los Centenarios"
36,"Los Corralitos"
239,"Los Ebanos CDP (Hidalgo"
281,"Los Ebanos CDP (Starr"
8114,"Los Fresnos"
193,"Anderson"
13487,"Andrews"
19429,"Angleton"
444,"Angus"
16896,"Anna"
3041,"Annetta"
554,"Annetta North"
621,"Annetta South"
184,"Annona"
2294,"Anson"
3671,"Anthony"
907,"Anton"
552,"Appleby"
101,"Aquilla"
7941,"Aransas Pass"
1601,"Archer City"
2034,"Arcola"
4403,"Argyle"
394266,"Arlington"
892,"Arp"
833,"Arroyo Colorado Estates"
420,"Arroyo Gardens"
722,"Asherton"
789,"Aspermont"
88174,"Atascocita"
12857,"Athens"
5433,"Atlanta"
5006,"Aubrey"
1390,"Aurora"
961855,"Austin"
118,"Austwell"
421,"Avery"
371,"Avinger"
13369,"Azle"
9677,"Bacliff"
220,"Bailey"
775,"Bailey's Prairie"
1479,"Baird"
27685,"Balch Springs"
2746,"Balcones Heights"
3619,"Ballinger"
408,"Balmorhea"
489,"B and E"
829,"Bandera"
1540,"Bangs"
745,"Banquete"
625,"Bardwell"
91,"Barksdale"
122,"Barrera"
5223,"Barrett"
220,"Barry"
265,"Barstow"
1633,"Bartlett"
3356,"Barton Creek"
1725,"Bartonville"
9688,"Bastrop"
787,"Batesville"
18061,"Bay City"
1763,"Bayou Vista"
1008,"Los Indios"
7,"Los Lobos"
30,"Los Minerales"
49,"Los Nopalitos"
1276,"Lost Creek"
0,"Los Veteranos I"
11,"Los Veteranos II"
28,"Los Ybanez"
644,"Lott"
889,"Louise"
570,"Lovelady"
143,"Loving"
1689,"Lowry Crossing"
174,"Lozano"
257141,"Lubbock"
7612,"Lucas"
258,"Lueders"
34143,"Lufkin"
5599,"Luling"
13554,"Lumberton"
2249,"Lyford"
236,"Lyons"
2914,"Lytle"
4050,"Mabank"
142210,"McAllen"
1831,"McCamey"
79,"McCaulley"
720,"McDade"
464,"Macdona"
5321,"McGregor"
195308,"McKinney"
852,"McKinney Acres"
665,"McLean"
3562,"McLendon-Chisholm"
311,"McLeod"
2397,"McQueeney"
4420,"Madisonville"
2359,"Magnolia"
217,"Magnolia Beach"
2179,"Malakoff"
237,"Malone"
15,"Los Huisaches"
2266,"Manchaca"
13652,"Manor"
72602,"Mansfield"
204,"Manuel Garcia"
62,"Manuel Garcia II"
9992,"Manvel"
410,"Marathon"
7037,"Marble Falls"
1788,"Marfa"
115,"Marietta"
1034,"Marion"
908,"Markham"
5462,"Marlin"
181,"Marquez"
23392,"Marshall"
1748,"Mart"
1253,"Martindale"
